feature,mean,sample_standard_deviation
e,3.4812728997073954,0.56217273883795926
di,2.9373838304957403,0.34992937225411008
che,2.5256052690258959,0.28677037988072362
il,1.9499688100490695,0.20958761639474247
a,1.8321627909656035,0.41275227950167359
la,1.8923892918745182,0.2198291702941047
un,1.6908286056122648,0.38322749537377671
non,1.4941644323836769,0.31057706974265703
in,1.1844712216752684,0.22472486138826928
per,1.104011449124054,0.24607799673475433
una,0.89067968867563085,0.19536764873658038
si,0.91258981888468638,0.1056440827014906
con,0.7799601893613346,0.19090892272603266
le,0.85815907807929015,0.2110137285519062
l,0.7398592713138803,0.14108488138161931
d,0.56152001492478976,0.25870456235496919
ma,0.681541224744032,0.098540648276191745
era,0.61843151806552454,0.10568409051866602
come,0.6279825781679057,0.12301353728424597
da,0.58221798773077971,0.11107458952004254
più,0.55167998971428955,0.12301482324325552
è,0.59720929997946903,0.1106040449615342
del,0.56010614234735778,0.085988461345964731
gli,0.58408304873280414,0.19845803281587743
i,0.57696176069711014,0.09188594704646838
mi,0.5837070202863176,0.62171938086686773
della,0.45633146187117291,0.13781761332023965
se,0.45945785359434926,0.071551149161546007
al,0.39945486395017843,0.039433863891576319
lo,0.43915016283647218,0.069807232895558305
io,0.38545890833437729,0.17411442035356436
alla,0.32568165386551157,0.050407800042825371
quel,0.26741909066482489,0.1127620739529781
aveva,0.30389546331454947,0.065547169723902884
s,0.24436079979336622,0.12857550031236251
suo,0.26380476542059134,0.071937210839351548
anche,0.25146140757519303,0.074080084030622759
quella,0.23948187184038972,0.11961456705328942
così,0.27034517370604311,0.079215156127248582
disse,0.27349088687291062,0.18678853720135835
sua,0.24739613415827244,0.081616686512356582
poi,0.24158509362158279,0.052080883423662072
due,0.24992323131183122,0.063934719990661137
o,0.22685534106667993,0.057891961731411201
nel,0.2236478894364865,0.039200281657377052
perchè,0.27510764094374895,0.11020355574027098
ne,0.21059188542950169,0.059238483268818337
quando,0.21031190770318309,0.052869201939169663
cosa,0.18293708856577837,0.061937094901345767
tutti,0.20313530443114136,0.093093278846208036
me,0.2333960139700488,0.17850119913402274
altro,0.18244059737419052,0.040169125081884041
tutto,0.19719937395957321,0.048419412141026449
questo,0.18706098942820837,0.050378183097658798
ci,0.16893041671270362,0.05388429646840142
lui,0.16915506724075111,0.089402387537303521
ora,0.20251836312233881,0.070069335491685744
loro,0.17432507931820121,0.060558055344366285
delle,0.16954499187315386,0.073578517700125176
all,0.16224401592321713,0.050172824162215746
chi,0.15340986836399864,0.073337386445384081
uno,0.15472319371027912,0.046729305903779425
lei,0.19953764861862189,0.18139386652085496
egli,0.2096991419194498,0.22995728546668934
ha,0.16023285245606197,0.041411804277580774
dell,0.15254119970793609,0.041153565864785559
ogni,0.13541202947216976,0.065012283465401374
qualche,0.13959979994043528,0.048417329175556488
senza,0.14539971789284484,0.034795642396162049
nella,0.16501301458583675,0.051782497264352904
sul,0.17436791797794385,0.055978290724956081
ho,0.166163495632146,0.086438420811048591
dei,0.1841279678083938,0.13729177539131485
cui,0.13902646441696759,0.077661531993526878
dopo,0.16175091518186244,0.028228264148352767
mio,0.19020663780031588,0.16361956062764191
tanto,0.15278799490772127,0.045615322403869375
occhi,0.17889439684617872,0.069819417507470782
c,0.12719290348600781,0.045534734968108004
questa,0.13399832424978667,0.041641662209869895
casa,0.15637778212906098,0.059773162017529878
fatto,0.12935153691708468,0.050411534753368639
sempre,0.14927932392827112,0.045927459395482942
dal,0.14513349706728165,0.044724822746953587
prima,0.14180600701433943,0.043277910758688989
dalla,0.15163499152756896,0.046711100661457422
fosse,0.11361946236967058,0.045966316095817916
mia,0.17138155135219957,0.15496545324353025
quale,0.11372827926416935,0.046368410173469266
col,0.14244781409749896,0.025888033043183788
ch,0.10929288144516332,0.085692078578279485
vi,0.13502012462698168,0.042865852632372664
bene,0.12393787569348476,0.034142911412059128
mai,0.13444609404879229,0.037639317867150732
altra,0.11069644072820368,0.03864622401293006
dove,0.11091319297397734,0.031335554917539157
sulla,0.11187825241519785,0.08204155826867382
tempo,0.097879541416572749,0.036672155001933951
altri,0.10428195104062675,0.032756414240367668
ancora,0.13360019688913879,0.067828974854611646
sono,0.15157881966595579,0.072092405620374472
fu,0.10869226085650309,0.039083568983546577
via,0.13098034005637943,0.061227086398122875
già,0.10867961388759879,0.041445480264297979
de,0.059185566063975577,0.097414624470752942
tu,0.1496982119726292,0.13300983764824301
far,0.087475058772960246,0.048906684362380513
subito,0.12088384612480675,0.065977064445424255
voce,0.12671994935489519,0.081687569345670702
gran,0.097281172661272355,0.053532785290786949
ed,0.13460989121016051,0.13915919764628326
mano,0.10838653678212773,0.019163602743395691
parte,0.079574544903356206,0.049987192304147401
giorno,0.10780028463244479,0.018297240343116181
renzo,0.043836971427286826,0.10737821186581835
quello,0.089885970317898134,0.037258523882252981
qui,0.096631184538081352,0.055491825322192358
allora,0.12734856808376474,0.073717451050823876
voi,0.097050367544514959,0.073721325433912091
uomo,0.081620093265841451,0.038676994930587669
fare,0.097149144495684139,0.052101711831517468
viso,0.092674294736433113,0.078145928620332747
poco,0.096471021027997025,0.02308197020678467
dire,0.090490962107341644,0.03306675923582221
su,0.12142579427298895,0.091737213672237458
tra,0.081781910723176032,0.084222782459843812
po,0.094236081117499995,0.03163104055809083
ad,0.10588443865042753,0.066898025668083366
no,0.13110197179020139,0.064667839880518149
volta,0.10056449694255326,0.020382049325694929
alle,0.092129692359575688,0.032493606054101364
ah,0.11273750257754807,0.12204866260808445
nè,0.085606971503555132,0.042652332476587722
suoi,0.084554719532004274,0.01942756130416104
stato,0.084303209238453802,0.015766152695318746
sì,0.12572050087464506,0.097113272215198818
momento,0.079232947145033178,0.036256001250579428
quelle,0.074243676617954571,0.042628943334519741
signore,0.075484197682999674,0.045062451113976262
ella,0.1344450950279478,0.16731355577018209
fece,0.084870372050234802,0.037246515434699513
quell,0.073550665065327966,0.035949457474774883
quasi,0.097636009323175024,0.028864182364428517
son,0.063880922069007848,0.040018659435501008
ai,0.089175960303708932,0.02824141568378143
là,0.097737907998882642,0.045982007089678707
don,0.035601588253001831,0.08130106937869494
fra,0.10064005551438986,0.06767310811299973
nell,0.082477590214588878,0.019473824380043556
cose,0.064391942286400092,0.040220922427632873
mezzo,0.073706330736421521,0.037686960269331701
capo,0.095997444865143292,0.044757920331472079
parole,0.067217032571695076,0.0276777777001108
lì,0.093886276720728093,0.073422219670612646
noi,0.077897618605086566,0.022395542808343809
strada,0.065117719614376471,0.060726443568757116
sè,0.076859509801900983,0.028803695574741318
rispose,0.084356227885108936,0.036847267804108734
tutte,0.079255193707987628,0.036993434647464206
mani,0.088234702431086789,0.019115286909881492
erano,0.081020808467774902,0.017901533239364203
forse,0.087044019384944216,0.046097529954508026
pinocchio,0.17040241184952157,0.4173989599709178
solo,0.085519576237022929,0.045121910141066222
sarebbe,0.067976583400415819,0.023761788126473372
ciò,0.063987106978977373,0.057720453530474253
vita,0.079858178955084611,0.027891304424596003
avrebbe,0.071821253531655513,0.022060695054940061
cuore,0.082990933887998844,0.058467927908671911
gente,0.058574591876904857,0.029028151399739372
n,0.051783457021881286,0.036878776052908353
essere,0.071685108869533484,0.031455200454195573
lucia,0.029749192575440803,0.072870342069623728
sotto,0.078824081475283622,0.024776578037316449
tutta,0.079730878612096975,0.027019386369107241
aver,0.066508804089724136,0.017903593278417403
detto,0.067002549183989887,0.025237688281791161
dio,0.074154889733233989,0.047026213549437069
donna,0.086876450517762036,0.078982116450342157
verso,0.069337936782509851,0.032590997312387661
pareva,0.087388184830120841,0.026427306634971299
tranvai,0.056452033141685919,0.13827867613981568
aria,0.07258810692843258,0.028962718538625164
m,0.060753896064642564,0.040710235223492007
padre,0.046381828083347461,0.041818904628830998
quanto,0.06403012214933175,0.0239471124578329
ti,0.10321138717439489,0.098211820952133475
fuori,0.073949468830717707,0.045846463263276974
esser,0.056938153929239871,0.023844060962683114
oh,0.068615121594027981,0.017136896103384407
sue,0.061346470852035352,0.02639136576535207
stesso,0.063477961038107086,0.023534117780807145
può,0.060886439360589704,0.039538376635348885
anni,0.08099717112811064,0.060612913696245857
buon,0.052287221788364813,0.029176806603166468
molto,0.061717763895247323,0.050214638254069771
dall,0.061146980337574104,0.017148123064165643
degli,0.058374001323600655,0.019375477890963201
sa,0.064555648738394159,0.039444569675622883
poteva,0.055719358927986566,0.028520910256962961
nulla,0.064739166224699288,0.026981827979901191
fa,0.060017323039297223,0.018890111981585248
tre,0.06931361182636768,0.025885776476013179
povero,0.077008947998316243,0.094430538265164343
davanti,0.056530556918701992,0.028194368334933533
eran,0.035439978494799969,0.042580197382895389
ecco,0.083876710665944668,0.082115411914857994
paese,0.065339267213246968,0.037162442843950545
violet,0.085725613741815879,0.20998401155437066
però,0.043704902888025067,0.031018714464227316
mondo,0.059932976170874251,0.020459938856050706
sia,0.049864655516021567,0.021966245627076351
certo,0.055771196426181224,0.03688766180946193
avesse,0.047433877277286374,0.019784641978181677
signora,0.064255187270283648,0.072240106758684239
so,0.054784284930009218,0.031374787246131519
quelli,0.041113668588799071,0.030476605833489153
appena,0.069685107953889006,0.02244226050546708
vedere,0.05447317435706394,0.016553541447538903
nelle,0.053936553232735877,0.010061762822842473
questi,0.057208866354843013,0.012304089876255243
giovanna,0.087374023845946711,0.21402177519633928
proprio,0.055552553800441169,0.029156427862443927
faccia,0.056157089161232771,0.016343945385637864
buona,0.048890487570817702,0.036823336600108246
signor,0.060973581812046984,0.06601280624460909
porta,0.05514852748769522,0.022583799050735823
queste,0.05635636920234971,0.016591013329612464
sopra,0.04757273899183681,0.017134229471202307
diceva,0.05660980434149137,0.03095331068917179
altre,0.041292136420648468,0.021425145462709495
quali,0.0394563592940105,0.028106689378668694
nessuno,0.051113834860651186,0.016553348675323702
dentro,0.059444880587251385,0.035447609671636189
dietro,0.053400893476277606,0.022840766400238612
testa,0.051579409550074264,0.012751376026063259
sei,0.071455576293803127,0.045792570937565814
insieme,0.039765574621942086,0.027369750289343388
costantino,0.080785163031334331,0.19788242821432023
male,0.053671723121573513,0.013625762157720116
li,0.059012797576883907,0.020624695847221403
nuovo,0.044706528069269759,0.016788225615330891
piedi,0.066093271817419405,0.03894838476734231
pure,0.051590450598199444,0.032603160364444571
faceva,0.046984844517598524,0.013904977641567489
giorni,0.054167413058462545,0.022429715824548873
ben,0.038626029122905296,0.018933844859489866
que,0.021089657092123206,0.048072402967356577
mentre,0.054088804554326554,0.023833442855427843
quei,0.068669159317895537,0.058877714663820989
parola,0.047441427295749072,0.036007623607288895
pensiero,0.038379394828743092,0.030059282399765096
troppo,0.044803691601959676,0.023295162946691865
nome,0.039077254735491888,0.028307446503166564
punto,0.050078510122805842,0.027117393041573085
hanno,0.044946064984498525,0.0134702219536636
zia,0.073675824597390013,0.17282831331698836
modo,0.049635806599374631,0.015252660836211136
avevo,0.05465692708601335,0.081434250685838733
vero,0.052346317323014369,0.0097968910704230635
tratto,0.049135090405036858,0.025143398706118938
notte,0.061577123819383968,0.031788504222651157
dunque,0.05392841114984661,0.03534813422269472
bocca,0.053906220609819699,0.035985652648327024
primo,0.043494125393510531,0.016982312471073201
intanto,0.046450819792117549,0.021007654207420328
meglio,0.042632879437464459,0.01826788303445882
sulle,0.046351622297278454,0.025546241996312745
volte,0.046195717769998222,0.016045164530438378
dalle,0.045726122436485585,0.013997184917233273
madre,0.042478110872464094,0.032557566126648833
stava,0.043576841521650846,0.010000358787284719
essa,0.03828630672619502,0.033146142841886606
intorno,0.039337274443447957,0.022412431281485606
sera,0.054349089538317012,0.021021945378718508
voglio,0.054263932337554777,0.056332310386620579
cielo,0.04386818307497483,0.031310337165120487
abbondio,0.017534788570914731,0.04295128474632734
donne,0.039156250954847073,0.041021344351245152
andò,0.039676073182671946,0.031544377253657233
te,0.060248965389682052,0.052230266321632822
andare,0.04290837717516819,0.02489455538603742
amico,0.044411140290615131,0.0168557473611976
va,0.044087096200664422,0.014103540829296999
sguardo,0.035769591306667833,0.04373897316920991
bella,0.047864330074897821,0.033897132832052
avanti,0.033718354653036763,0.01559603303594506
povera,0.038714690405456519,0.016156158533971399
sarà,0.042738497563012505,0.017296336936870972
dice,0.037837461539275752,0.019359189654695776
tutt,0.036104568697729614,0.02973243671261739
andava,0.035641816634035144,0.013639799289830843
doveva,0.038323659353582666,0.018949322849035836
grande,0.049592023194128178,0.01917835942485361
meno,0.036652613570749046,0.014212405979130521
pane,0.039735933759848539,0.032568144455573808
agnese,0.016410763662522761,0.040197997262588402
caso,0.038350365417218223,0.02023405958899975
città,0.0363639166474128,0.015397088617434843
mente,0.033135348034631869,0.019850845298264256
